--ramp rate info
Generator, Unit, ramp rate bound
1671, '1', 4.2571544592
1671, '2', 6.9523344207
1671, '3', 6.1700087884
8704, '1', 1.7820675439
8461, '1', 3.5250108791
1050, '1', 2.9163239666
8752, '1', 3.0113649470
1834, '1', 8.5737687512
1834, '2', 8.3078607691
1834, '3', 3.6465718836
1834, '4', 17.5738189312
8838, '1', 1.5989112608
1881, '1', 2.5791501677
1858, '4', 2.4662669710
1858, '5', 1.1362679080
1858, '6', 1.9648559895
1882, '1', 2.7971728207
1882, '2', 2.9719562532
8774, '1', 0.8661652933
2039, '1', 0.0520954359
2039, '2', 0.0389985871
2039, '3', 0.0447420808
2039, '4', 0.0475783190
2209, '1', 0.1039173822
1784, '1', 2.7400963800
8032, '1', 1.5884073176
1785, '1', 1.7039699968
220, '1', 4.4288832092
220, '2', 5.8356608441
220, '3', 7.8029896030
220, '4', 7.9131073852
220, '5', 2.5189919864
1975, '1', 1.9813916413
1975, '2', 1.1516168201
1855, '2', 0.6692857051
1855, '3', 1.7070341622
2300, '1', 4.9496620198
2300, '2', 2.1493842219
2300, '3', 1.2848832810
2300, '4', 1.8503296122
2300, '5', 2.6008599974
7707, '1', 2.4544299619
7707, '2', 2.2473132090
1821, '3', 1.4909901417
1821, '4', 1.1113345618
1821, '5', 2.6102992996
1326, '1', 2.2446601846
1330, '1', 2.5892992299
8461, '2', 1.7924260552
1797, '1', 4.0246186335
1797, '2', 3.7824327336
1797, '3', 3.4268199155
7698, '1', 0.2591358550
7698, '2', 0.6278873004
7698, '3', 0.6272233216
7698, '4', 0.5433967304
7698, '5', 0.5146468145
7698, '6', 0.5230119018
7698, '7', 0.3230363098
7698, '8', 0.4614110413
1844, '1', 2.1963535273
1596, '1', 1.6451398693
2044, '1', 3.1361821157
2332, '1', 0.4510067929
8752, '2', 3.5412652992
8752, '3', 4.4176915702
8752, '4', 10.7909567248
1864, '1', 2.2148693706
1852, '2', 2.2530697662
1239, '1', 1.4867678032
1239, '2', 1.7389152288
1239, '3', 3.1260229677
552, '6', 0.1538374660
552, '7', 0.2686584028
552, '8', 0.9551132676
552, '9', 1.8545820682
552, '10', 2.7999531273
1694, '1', 5.9916281229
1694, '2', 7.1324216310
2217, '1', 3.3783650579
8535, '1', 7.8106351591
8535, '2', 0.7497857369
1806, '1', 2.6311256090
1806, '2', 2.5157739193
1806, '3', 4.9875986249
1236, '1', 0.1203575206
1236, '2', 0.1420346989
1236, '3', 0.0775637666
698, '1', 0.0896960677
698, '2', 0.2007624991
698, '3', 0.0124544744
1853, '1', 0.4589093266
1458, '1', 0.0212217734
1791, '1', 0.0462240890
1791, '2', 0.0552318677
1791, '3', 0.0339609452
1861, '1', 1.0198208521
1861, '2', 1.2020021865
1861, '3', 1.9096099422
1861, '4', 1.9957724081
1859, '1', 0.5546949773
1859, '2', 0.3892944185
